Total Population,ZIP,Traffic,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden
2780,93706,1037.095744,3.1,78.98,16,76,30.3
4680,95206,856.395935,1.27,73.43,29.7,73.2,31.2
2751,90023,2522.622269,11.62,77.67,17.1,62.6,20.3
3664,93706,690.502159,2.36,67.85,15.7,65.7,35.4
2689,93706,909.6508821,0.35,66.83,20,72.7,32.7
3306,90221,1480.520959,2.72,76.44,NA,43.5,23.7
4255,93706,243.2723063,0.56,66.35,21.7,79.5,33.3
5124,90220,1575.35455,1.785,73.27,9.7,56.8,29.6
4561,93725,438.594055,1.205,71.65,22.4,72.2,30.8
3688,95202,287.4559495,1.32,64.15,24,78.8,33.1
2000,90033,2125.866346,2.09,74.46,28.4,71.7,28.3
3640,90247,3455.239256,7.28,81.90,20.1,51.5,26.1
1949,91733,905.045862,0.71,72.75,31.3,61.1,32.7
6772,90059,2484.965675,1.22,63.90,12.4,73.5,41.2
5705,90011,832.5616204,3.065,70.21,28.3,68.6,39.5
2615,90021,2429.418553,4.435,75.76,28.1,71.9,40.8
4225,93706,641.6004036,0.285,68.43,14.2,70.2,18.8
2464,91731,2834.65939,0.42,74.66,35.6,43.5,27.5
5999,90001,1052.626827,0.56,67.23,23.3,57.5,46
2031,90023,3665.685846,9.24,76.29,22.1,58.9,25.6
3548,90023,928.4647117,22.27,74.56,22.4,82.3,26.1
2048,95203,726.7471757,1.17,70.42,20.2,68.2,24.6
1820,90021,1931.043768,6.875,76.42,24.4,44.5,21.4
5191,93706,347.2769377,0.03,62.48,22.8,86.7,26.1
4669,95380,1013.66386,0.8,73.07,18.3,54.9,20
5498,93721,1162.415629,2.39,71.96,14.3,68.8,14.8
3900,90280,2127.781743,4.99,79.14,21,40.1,23.6
2174,91331,785.071341,1.585,70.78,18.7,63.4,34.2
7326,90003,3154.098167,0.06,63.39,14.2,63.7,38.4
3553,90002,994.4754349,1.405,65.50,21.4,53.4,33.1
5363,91761,842.733027,3.245,77.27,31.6,63.8,29.6
5768,90247,2511.594785,8.38,78.23,18,44.3,26.8
4832,90805,1778.158275,0.63,67.45,14.9,57.6,32.4
4881,90023,2783.139002,5.155,77.46,21.2,50.1,16.4
7155,90221,2630.563134,0.925,68.80,14.5,54.7,25.9
5748,90201,755.4452536,2.67,66.98,20.7,80.1,36.3
6215,90023,2649.188078,2.39,73.50,31,56.4,25.3
9052,93307,649.8318905,4.625,65.99,18.6,65.3,23.1
4756,90059,3529.731022,0.135,61.33,13.9,86.9,35.7
6035,90059,1794.888252,0.45,63.36,10.9,66.5,45.6
5687,90033,2360.78323,2.115,74.50,42.3,66.8,34.8
4735,90221,802.7858005,1.525,65.30,13.2,54.8,32.2
2907,90033,3196.052323,5.08,73.81,22.4,65.4,29.1
3753,90003,3970.780012,0.225,65.15,18.3,52.7,43.6
3809,90016,2253.086852,1.045,70.96,13.7,46.1,31.6
4768,90201,3172.78691,4.235,78.21,22.7,61.9,29.3
5935,93725,470.2217476,2.1,70.49,19.9,59.4,20.4
7624,95203,1078.530592,0.665,71.99,13,51.9,19
3230,90059,2114.729333,1.9,64.43,14.1,61.4,21.4
4904,90061,1070.013824,0.635,65.24,17.7,45.9,40.6
3794,90201,5116.249847,0.77,72.43,20.1,55.4,22.9
5633,93307,681.9583609,4.51,59.50,29.5,76.5,30.6
6219,90201,1025.609038,1.375,69.16,29.5,61.5,28.9
1963,92507,1566.079784,0.93,67.02,17.9,59.5,23
6558,91406,2892.070994,2.36,68.45,22.8,48.6,35.4
6793,93637,1115.703732,0.645,64.55,22.5,73,23
7273,90805,1663.949239,0.97,65.77,16.1,56.9,32.8
4320,90201,677.1907416,2.27,69.88,22.6,47.1,24.9
3099,90744,632.7478884,3.305,69.10,24.6,58.9,30.6
2458,90001,1230.505058,0.445,65.01,7.8,61.2,41
5342,93702,685.4053619,0.3,59.47,26.7,79.3,31.3
3400,90805,4072.827967,1.135,69.84,7,37.7,24.1
4334,90003,3032.755893,0.225,60.35,10.9,68.1,42.3
2109,90059,2623.566956,1.555,66.59,16.3,55.9,22.7
3132,90731,856.100235,2.695,63.65,23.8,56,33.2
3720,90201,661.0383819,3.925,67.40,13.1,57.9,32.1
6299,95231,913.4255036,1.03,71.82,7.1,47.1,16.7
3872,91402,1444.132983,2.62,61.58,34.5,62.7,33.9
3039,91733,1963.851443,0.405,72.17,10.5,48.3,22.5
2759,93706,364.259288,0.27,62.12,9.5,69.3,21.8
7637,93662,795.7905056,0.86,67.94,28.8,76.9,17.1
3904,90023,752.2054963,9.81,67.55,26.3,60.8,28.5
3457,91605,1034.494912,0.93,61.73,21.5,59.9,41.1
4013,90040,2366.91483,2.615,77.29,19,45.6,19.5
3542,92553,1831.235988,0.36,63.42,15.9,71.8,29.1
7508,90026,2879.594269,0.96,75.67,18.8,59.6,35.6
2407,93725,550.4996481,6.695,79.54,12.6,63.5,9.9
4788,90813,854.1597288,2.14,61.29,23.7,72.1,30.6
3841,90810,2233.800035,1.395,70.31,12.7,51.2,19.9
6631,93230,388.3283198,0.945,62.67,34.8,78.8,15.6
4501,90003,3767.169464,0.06,60.00,23.8,68.1,38.7
2918,90058,508.4178425,9.525,61.29,23.1,77.8,32.7
4150,90016,3054.125252,0.345,65.59,11.7,50.1,38
6588,90805,913.8811807,4.395,69.83,8.3,38.8,25.2
4165,90805,2820.212253,8.09,67.43,12,66.2,28
2705,90001,1078.399826,1.91,63.68,24,67.6,27.4
5505,90011,554.9191044,1.92,65.67,27.4,60.3,31.8
3112,95354,559.8361609,2.28,61.23,13.9,73.7,30
3289,90255,805.1329156,9.885,62.91,25.6,59.9,28.4
3073,91343,3927.660141,0.355,61.05,25.5,69.8,40.8
5510,90023,4013.208536,3.9,70.61,10,39.2,24.5
7395,91204,1006.129331,1.95,69.68,36.9,53.8,41
4443,90249,875.4572135,4.48,73.03,18.2,51.2,23.1
4436,93280,245.8278104,0.25,64.80,33.3,75.2,26.4
4802,91733,602.1711841,1.07,66.76,31.8,62.6,28.2
1598,95811,1892.222241,7.73,69.23,1.2,74.8,18.4
5139,91352,2560.759679,0.78,69.18,6.7,54.3,35.1
2991,90065,2390.883961,0.025,70.07,23,58.9,23.5
7139,90262,3490.191587,0.615,67.58,15.8,48.9,25.2
6741,92507,1416.184446,0.73,69.05,9.7,49.9,26.6
2704,91402,1392.963629,0.9,63.46,16.3,47.9,27.9
3110,91706,4410.033774,0.605,76.19,20.4,51.8,32
5159,90003,3525.282743,0.15,59.87,13.7,64.1,34.3
5146,90061,2775.215502,0,58.86,14.3,61.9,49.4
2852,90002,956.109058,1.135,61.70,12.3,91.2,32.4
6124,90805,2371.319143,4.065,73.36,8.1,40.2,21.2
3761,91352,1676.067303,1.2,66.01,19.4,40.1,36
4144,90059,3247.400721,0.43,64.01,12.8,45.3,28.2
6941,93304,887.5730984,0.42,58.85,17.9,76.5,28.8
4401,93703,2460.086197,0.28,61.25,12.6,77.7,34.9
4080,90023,3291.982798,0.755,72.65,17.1,64.2,35.5
2241,90023,3550.700079,8.005,71.86,23,59.4,29.9
4059,90304,2588.432656,0.475,66.59,23.6,64.5,29.5
6284,93728,1093.522676,4.8,68.79,20.5,71.5,22.4
4824,90023,3107.507264,1.4,67.81,25.2,60.1,29.5
4503,91605,792.5627615,2.935,62.84,24.3,44.8,32
6402,90002,559.8170989,0.37,57.41,22.3,75.2,36.2
3729,90001,1152.544557,0.23,60.02,19.8,62.1,31.5
4577,93702,2784.997451,0.11,58.20,24.3,80.6,35.8
4709,90001,813.5117297,3.02,59.47,18.5,62.9,38.8
5439,92507,1404.468239,2.785,64.65,12.6,72.3,28.4
1292,93706,88.16642645,0,58.31,10.5,72.4,26.3
6567,90501,2548.275568,6.58,75.07,16.1,50.5,40.8
4071,92501,1186.647805,0.985,65.19,9.5,46.4,24.5
2254,90813,696.6015045,0.93,59.80,11.1,62.6,44.7
3190,93307,902.2936298,0.5,58.50,26.2,70.7,33.2
5944,91733,588.4735897,1.31,71.41,22.9,52.1,16.1
5391,90031,2459.873712,0.725,76.92,25.1,49.1,22.8
7058,90001,1010.702094,0.775,57.95,33,70.6,32.1
5348,91733,1075.398537,0.4,69.25,32.8,52.4,26.4
3206,90201,925.9154496,3.275,68.88,33,62.6,25.3
5339,95380,1164.652395,0.685,65.11,15.2,64.1,26.2
5337,91204,987.5232579,2.68,68.80,33.2,41.3,27.5
4972,92324,1883.771741,0.385,64.44,16.5,62.7,29.9
7113,92410,1178.491339,0.55,57.58,19,69.5,35.1
11006,93638,1093.14832,0.31,60.81,35.7,68.6,14.7
5779,91731,1531.863351,0.46,74.10,21.4,51,31.7
4391,90044,2374.418694,0.315,64.50,13.3,50.1,28.6
5134,90003,3238.402884,0.05,55.88,20.4,63.6,33.7
2873,95340,1042.881892,0.245,54.47,NA,72.7,35.4
5353,90280,982.9633037,2.515,70.53,23.8,32,18.5
3737,90002,1126.061122,0.535,58.10,18.3,65.8,29.4
2662,95340,1156.341186,0.47,59.72,8,47.8,28.7
6635,91766,1466.886544,2.75,71.79,11.8,42.8,24.7
3701,90280,835.6237977,1.4,71.78,25.6,44.1,17.1
3339,93654,646.7282871,0.15,57.95,30.9,65.9,26.7
4001,90012,683.6233014,1.855,68.94,35.9,63,20.7
4195,90255,801.6312981,9.995,70.42,27.8,48.3,27.4
5006,90220,639.0117221,1.03,59.96,7.4,61.4,41.6
4721,92518,1701.370963,1.205,63.64,17.8,57.1,19.2
6112,91201,2364.847876,2.16,75.30,42.2,44.4,35.3
3059,90222,810.6770411,19.69,64.48,9.5,63.2,30.1
4498,90033,1663.608361,0.515,69.10,25.3,62.8,32.3
3718,90044,2797.270786,0.03,56.99,16.6,58.4,36.8
5277,90023,4050.333875,2.66,65.60,20.2,53.8,33.9
5917,90221,850.0133692,6.715,62.54,13.8,64.1,31.9
3006,92113,1429.379206,1.945,61.13,17.6,66.9,33.1
4531,90220,792.6218994,2.97,66.59,7.4,33.2,20.7
5353,90058,487.4645779,5.5,62.78,14.4,62.8,35.3
3523,90221,2336.401295,0.1,60.64,20.2,54.9,25.9
5776,90044,3162.308044,0,59.10,10.5,54,30.5
4971,93702,1609.502719,0.11,55.77,28.2,76,25.8
5664,90813,525.5394672,0.535,54.87,15.4,65.6,34.2
4590,90001,1019.759087,1.485,61.62,26.4,60.7,26.8
