Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
27,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
32,2,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
23,6,12,10,1,0,0,0,0,1,0,0,0,3,0.000,0.000,0.000
25,1,3,3,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
26,4,10,10,0,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000
27,1,3,3,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000
25,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
30,3,6,6,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
26,3,3,3,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000
26,5,8,8,1,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
27,3,7,7,1,0,0,0,0,0,0,1,0,3,0.000,0.000,0.000
29,5,8,7,0,0,0,0,0,0,0,0,1,2,0.000,0.125,0.000
27,2,5,3,2,0,0,0,0,0,0,0,2,2,0.000,0.400,0.000
27,3,6,6,0,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000
31,17,8,7,4,0,0,0,0,0,3,1,1,4,0.000,0.125,0.000
26,6,4,4,1,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000
28,3,3,3,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
31,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
28,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
30,2,4,4,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
27,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
27,2,5,5,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
26,7,5,5,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
29,4,10,9,0,0,0,0,0,0,0,0,1,5,0.000,0.100,0.000
27,6,14,13,2,0,0,0,0,0,0,0,1,5,0.000,0.071,0.000
31,5,6,6,0,0,0,0,0,0,1,0,0,3,0.000,0.000,0.000
27,4,6,4,0,0,0,0,0,0,0,0,2,3,0.000,0.333,0.000
27,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
27,1,3,2,0,0,0,0,0,0,0,0,1,1,0.000,0.333,0.000
22,5,8,8,0,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000
25,3,11,11,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
26,5,10,9,1,0,0,0,0,0,0,0,1,4,0.000,0.100,0.000
22,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
37,2,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
37,2,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
27,2,1,1,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000
27,2,7,7,0,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000
23,3,9,8,2,0,0,0,0,0,0,0,1,2,0.000,0.111,0.000
26,3,4,3,0,0,0,0,0,0,0,0,1,1,0.000,0.250,0.000
26,1,2,2,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000
32,7,19,19,0,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000
27,6,13,9,2,0,0,0,0,2,1,0,2,5,0.000,0.154,0.000
28,3,3,3,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000
28,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
25,5,11,11,0,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000
30,2,4,4,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000
27,10,29,25,2,1,0,0,0,1,0,0,3,10,0.040,0.138,0.040
